NISARG-100ML,FUNGICIDE,51,51.00,
NISARG-250ML,FUNGICIDE,106,106.00,
NS-620,SEED,75,75.00,
NUTRON-100G,INCESTCIDE,250,250.00,
OBERON-100ML,INCESTCIDE,486,486.00,
OBERON-200ML,INCESTCIDE,960,960.00,
OKRA-517,SEED,436,436.00,
OKRA SAMRAT-1400SDS,SEED,325,325.00,
OKRA SINGHAM-1400SDS,SEED,367,367.00,
OKRA SIVANSH-1400SDS,SEED,545,545.00,
OPIFOL-1KG,MICRONUTRIENT,262,262.00,
ORIUS-100ML,FUNGICIDE,188,188.00,
ORIUS-250ML,FUNGICIDE,429,429.00,
PARANEX-1L,HERBICIDE,424,424.00,
PARANEX-500ML,HERBICIDE,221.5,221.50,
PARUL-10G,SEED,145,145.00,
PEGASUS-250G,INCESTCIDE,846,846.00,
PEGASUS-25G,INCESTCIDE,89,89.00,
PEGASUS-500G,INCESTCIDE,1625,1625.00,
PLANOFIX-100MI,PGR,85,85.00,
PLANTAFOL-10-54-10-5KG,WSF,2722,2722.00,
PLANTAFOL-20-20-20-1KG,WSF,450,450.00,
PLANTAFOL-5-15-45-1KG,WSF,408,408.00,
PLANTOMYCIN-100G,ANTIBIOTICS,132,132.00,
PLANTOMYCIN-15G,ANTIBIOTICS,25,25.00,
PLANTOMYCIN-250G,ANTIBIOTICS,290,290.00,
PLANTOMYCIN-50G,ANTIBIOTICS,64,64.00,
PLETHORA-350ML,INCESTCIDE,930,930.00,
PLETHORA-100ML,INCESTCIDE,262,262.00,
PLETHORA-1L,INCESTCIDE,2442,2442.00,
PLETHORA-500ML,INCESTCIDE,1265,1265.00,
POISAG-25G,SEED,25,25.00,
POLOZAAP-500ML,INCESTCIDE,1490,1490.00,
POLYTRIN C-250ML,INCESTCIDE,202,202.00,
POLYTRIN C-1L,INCESTCIDE,744,744.00,
POLYTRIN C-500ML,INCESTCIDE,385,385.00,
PRAMUKH-19-19-19-1KG,WSF,284,284.00,
PROFIGAN PLUS-100ML,INCESTCIDE,89,89.00,
FROFIGAN PLUS-1L,INCESTCIDE,760,760.00,
PROFIGAN PLUS-250ML,INCESTCIDE,208.57,208.57,
PROFIGAN PLUS-500ML,INCESTCIDE,393,393.00,
PROGIB EASY-2.5G,PGR,58,58.00,
PROKISAN-250G,MICRONUTRIENT,0,0.00,
PULSAR-150ML,FUNGICIDE,468,468.00,
PUMMY-100G,SEED,80,80.00,
RAMA-50G,SEED,460,460.00,
REDIFARM-500ML,SEED,765,765.00,
QUANTIS-400ML,PGR,305,305.00,
QUANTIS-1L,PGR,702,702.00,
RACER-100SDS,SEED,218,218.00,
RAJAT HD-25ML,ANTIBIOTICS,314,314.00,
RAMA-40SDS,SEED,65,65.00,
REDSTAR-1000SDS,SEED,567,567.00,
REGENT SC-100ML,INCESTCIDE,144,144.00,
REGENT SC-250ML,INCESTCIDE,334,334.00,
REGENT ULTRA-4KG,INCESTCIDE,781,781.00,
REGULATOR,OTHER,60,60.00,
REHAN-1000SDS,SEED,1348,1348.00,
REPIVOX-1L,HERBICIDE,1160,1160.00,
REVUS-160ML,FUNGICIDE,912,912.00,
RIDOMIN-500G,FUNGICIDE,833,833.00,
RK DESI-10G,SEED,160,160.00,
YORO-40G,INCESTCIDE,363,363.00,
RUSAN-100SDS,SEED,280,280.00,
SAFEROOT-500G,FUNGICIDE,127,127.00,
SAMBHRAMA-5G,MICRONUTRIENT,42,42.00,
SAMRAS-100ML,PGR,68,68.00,
SAMRAS-250ML,PGR,150,150.00,
SATABDI COWPEA-100G,SEED,170,170.00,
SHAMIR-250ML,FUNGICIDE,303,303.00,
SHAMIR-500ML,FUNGICIDE,560,560.00,
SHOOTER-100ML,INCESTCIDE,220,220.00,
SOLOMON-100ML,INCESTCIDE,303.5,303.50,
SOLOMON-250ML,INCESTCIDE,529,529.00,
SOLOMON-500ML,INCESTCIDE,950,950.00,
SPARSH-100ML,FUNGICIDE,51,51.00,
SPARSH-250ML,FUNGICIDE,106,106.00,
SPRAYER-12AH-16L,OTHER,2100,2100.00,
SPRAYER MOTOR,OTHER,220,220.00,
SUMIPLEO-250ML,INCESTCIDE,529,529.00,
SUMIPREMPT-1L,INCESTCIDE,1535,1535.00,
SUMIPREMPT-250ML,INCESTCIDE,397,397.00,
SUMIPREMPT-500ML,INCESTCIDE,780,780.00,
SUMITAJ-100G,INCESTCIDE,136,136.00,
SUMITAZ-250G,INCESTCIDE,332,332.00,
SUPER YODHA-250ML,INCESTCIDE,460,460.00,
GLOSSY-10G,SEED,210,210.00,
TABOLI-100ML,PGR,880,880.00,
TABOLI-30ML,PGR,275,275.00,
TAFGOR-250ML,INCESTCIDE,190,190.00,
TAKAF-100ML,INCESTCIDE,263,263.00,
TAKAF-1L,INCESTCIDE,2403,2403.00,
TAKAF-250ML,INCESTCIDE,620,620.00,
TAKAF-500ML,INCESTCIDE,1215,1215.00,
TALIAH-100ML,INCESTCIDE,130,130.00,
TOMATO ARYA-3000SDS,SEED,430,430.00,
TOMATO LAXMI-3000SDS,SEED,411,411.00,
TOMATO VANI-10G,SEED,270,270.00,
TOPMAST-100G,FUNGICIDE,98,98.00,
TOPMAST-250G,FUNGICIDE,230,230.00,
TOPMAST-500G,FUNGICIDE,446,446.00,
TOTAL-100ML,MICRONUTRIENT,126,126.00,
TOTAL-250ML,MICRONUTRIENT,220,220.00,
TOTAL-500ML,MICRONUTRIENT,415,415.00,
TRACEMIN-5KG,MICRONUTRIENT,220,220.00,
VELUM PRIME-250ML,FUNGICIDE,1860,1860.00,
VIRTAKO-2.5KG,INCESTCIDE,835,835.00,
VIVA-1L,MICRONUTRIENT,690,690.00,
KASHIKANCHAN-500G,SEED,262,262.00,
VOLIAM FLEXI-100ML,INCESTCIDE,743,743.00,
VOLIAM TARGO-250ML,INCESTCIDE,1980,1980.00,
YODHA-100G,INCESTCIDE,220,220.00,
YODHA-250G,INCESTCIDE,523,523.00,
ZAMIR-100ML,FUNGICIDE,188,188.00,
